class;cap-diameter;cap-shape;cap-surface;cap-color;does-bruise-or-bleed;gill-attachment;gill-spacing;gill-color;stem-height;stem-width;stem-root;stem-surface;stem-color;veil-type;veil-color;has-ring;ring-type;spore-print-color;habitat;season
p;18.74;s;k;n;f;d;c;y;5.81;37.4;s;k;n;u;e;f;f;w;d;a
p;5.73;o;t;w;f;d;c;w;0.0;0.0;f;f;f;p;b;f;f;n;d;a
e;10.3;x;s;y;f;a;d;w;7.37;14.82;b;i;n;p;e;t;p;w;d;w
p;2.44;f;s;o;f;d;c;o;2.9;5.68;c;h;o;f;f;f;f;u;h;a
e;1.4;x;t;y;f;a;c;w;5.97;1.8;u;t;y;f;f;f;f;e;d;u
p;0.91;x;g;w;f;a;d;w;2.32;1.24;c;s;e;f;f;f;f;u;l;u
p;3.28;f;d;b;f;x;c;y;4.27;2.89;b;i;n;p;w;f;f;r;l;a
e;7.65;x;l;n;t;d;c;w;10.9;18.97;b;g;w;u;w;t;r;e;d;u
e;12.27;f;s;w;t;e;c;n;8.5;17.9;s;y;w;p;w;t;l;n;m;a
p;3.33;b;w;y;f;a;c;y;5.41;6.2;s;t;y;u;f;f;f;e;m;u
p;17.87;f;k;w;t;d;d;n;6.73;28.76;c;l;w;u;w;f;f;y;d;a
p;7.55;o;k;y;f;e;c;y;1.55;16.73;e;g;n;f;f;f;f;p;d;w
p;1.58;x;d;n;f;a;c;k;4.81;2.38;s;s;n;u;w;f;f;k;g;u
p;1.84;x;i;l;f;a;c;p;3.9;2.41;c;i;w;f;k;f;f;p;g;a
p;9.87;o;l;n;f;f;f;f;3.49;24.65;s;g;n;p;w;f;f;g;d;s
e;4.58;b;g;n;f;a;d;g;6.26;3.3;s;s;g;u;r;f;f;w;d;w
p;5.96;s;d;n;t;d;c;w;5.67;6.26;b;w;e;p;p;f;f;n;d;u
e;15.13;f;y;w;f;d;c;w;23.77;19.82;s;y;n;u;e;t;m;e;d;a
p;7.15;s;k;o;t;d;c;o;4.44;11.52;b;h;w;u;u;t;f;e;d;u
p;7.54;x;s;n;f;s;c;n;5.73;7.71;b;y;n;u;l;f;f;e;d;a
e;13.67;f;h;g;f;d;c;y;2.6;15.09;e;s;w;f;f;f;f;w;d;w
e;6.68;x;d;n;t;p;c;y;5.32;11.55;e;i;y;f;f;f;f;p;d;u
e;9.13;f;e;b;f;x;c;b;4.86;18.78;b;d;w;u;e;t;f;u;d;a
e;7.42;x;s;n;t;p;c;g;12.34;24.76;e;y;w;f;f;f;f;e;d;a
e;6.5;c;t;n;f;e;c;w;12.17;11.43;b;s;w;u;w;f;f;w;d;u
p;4.39;f;t;n;f;x;c;p;5.75;4.74;s;i;g;p;w;f;f;n;m;u
p;0.78;f;s;o;f;a;c;y;1.98;4.29;e;g;y;f;f;f;f;p;h;a
p;2.54;x;d;w;f;d;d;w;3.54;2.62;u;h;w;f;f;f;f;w;g;u
e;6.68;f;h;e;f;x;c;w;6.05;15.04;u;s;w;f;f;f;f;w;d;u
e;1.01;x;g;n;t;a;d;w;5.44;1.06;b;s;n;p;r;f;f;p;d;a
p;2.34;f;t;y;f;x;c;n;8.29;3.54;u;k;y;u;f;f;f;b;g;a
p;7.35;o;k;o;f;d;c;y;1.33;14.84;z;g;y;p;y;f;f;p;d;a
e;5.68;x;h;n;f;x;c;w;5.26;5.73;b;s;n;p;e;t;r;w;d;a
e;0.84;x;g;n;t;a;d;w;4.92;0.86;c;s;n;f;f;f;f;e;h;a
p;6.77;f;t;n;f;x;c;y;4.48;12.55;b;l;y;u;w;f;f;u;d;a
p;2.41;f;s;w;f;a;c;n;3.52;3.71;s;i;u;u;u;f;f;k;d;u
e;6.41;f;d;b;f;d;d;b;6.22;13.68;c;s;w;f;f;f;f;w;m;w
e;11.39;x;e;y;f;x;c;w;8.36;23.59;s;k;w;f;f;f;f;w;d;a
p;1.0;f;t;n;f;x;c;n;6.96;2.57;u;h;y;u;f;f;f;b;g;u
p;12.18;f;h;o;f;e;c;w;16.56;16.18;s;y;w;u;w;t;p;w;d;a
e;53.83;o;y;y;f;p;d;y;6.45;21.04;s;k;k;f;f;f;f;u;d;u
e;3.24;x;k;n;f;p;c;n;4.41;10.33;b;h;y;f;f;f;f;n;d;a
p;14.94;x;g;e;f;e;c;w;17.5;18.26;s;y;w;u;w;t;r;e;d;a
p;5.61;b;y;n;f;d;c;w;8.39;11.19;b;s;w;u;w;t;z;e;d;w
e;10.38;f;k;g;f;s;c;u;8.18;20.5;b;h;b;u;o;f;f;w;d;w
e;4.31;x;s;n;f;x;c;n;7.94;9.6;b;i;w;p;w;t;l;e;g;a
e;51.42;o;y;y;f;p;d;y;7.11;29.96;c;k;k;f;f;f;f;u;d;s
p;1.2;s;s;y;f;f;f;f;2.88;5.62;e;y;y;p;o;f;f;n;d;u
p;5.96;x;l;n;t;x;c;n;8.41;17.5;s;s;u;p;u;f;f;n;d;a
p;5.66;s;s;n;t;d;c;b;5.46;5.89;b;y;e;u;p;f;f;e;d;a
p;0.51;f;y;o;f;d;c;o;3.93;0.95;u;d;o;p;l;f;f;w;g;a
p;3.5;f;s;p;f;x;c;w;4.65;5.88;u;s;w;p;k;f;f;n;d;a
e;8.93;o;d;n;f;e;c;w;4.36;21.62;b;d;n;u;w;f;f;w;d;a
p;9.42;x;e;n;t;p;d;o;7.69;26.42;c;d;u;p;w;f;f;p;d;u
e;10.04;s;t;w;t;d;c;y;5.95;23.92;b;d;w;u;e;f;f;e;d;a
e;3.64;o;l;n;f;f;f;f;6.58;42.12;s;g;n;p;e;f;f;g;d;a
e;6.82;x;d;y;t;p;d;y;5.77;11.83;e;g;e;f;f;f;f;u;d;a
p;0.65;x;g;o;f;a;c;y;3.53;0.84;c;s;y;p;w;f;f;p;d;u
e;6.99;x;t;n;t;p;c;y;7.36;17.34;b;y;n;u;w;t;p;u;d;a
e;6.54;b;h;g;f;s;d;g;5.28;10.35;c;s;g;f;f;f;f;w;d;a
e;9.7;p;y;w;f;e;c;w;18.84;12.61;c;s;w;p;w;t;e;y;g;a
e;4.74;x;t;n;f;p;d;y;7.07;11.21;s;s;n;u;f;f;f;u;h;u
e;8.87;p;y;w;f;e;c;k;16.58;12.55;b;s;w;p;l;t;e;k;u;s
e;2.54;f;h;n;f;a;c;n;4.65;6.0;e;s;w;u;w;f;f;k;d;a
p;1.29;x;k;n;f;x;c;n;3.08;1.58;b;h;n;u;f;f;f;p;d;u
p;8.81;x;y;y;f;a;c;y;11.87;13.69;s;y;n;p;l;t;l;w;d;u
e;4.37;o;l;n;f;f;f;f;6.57;43.78;s;g;n;p;y;f;f;g;l;u
p;3.65;x;t;n;f;s;c;n;5.35;9.36;s;y;w;p;n;t;z;o;d;a
p;13.52;x;h;g;f;e;c;w;10.82;16.87;b;g;w;u;w;t;r;e;d;a
e;2.84;x;k;n;f;p;c;e;4.35;9.11;c;h;y;f;f;f;f;e;d;a
e;3.81;f;d;w;f;x;c;n;5.93;3.49;c;d;w;f;f;f;f;b;d;u
e;10.31;x;i;n;t;e;c;p;8.75;17.2;b;y;w;u;w;t;p;g;d;a
e;9.21;x;s;w;f;e;c;k;4.18;12.82;b;g;w;p;w;t;e;o;m;a
p;5.31;x;t;y;f;x;c;y;6.74;17.04;b;h;y;u;y;f;f;w;d;a
e;5.45;f;w;y;f;f;f;f;3.92;10.24;c;l;y;p;l;f;f;b;d;u
p;7.02;s;d;e;t;d;c;n;6.85;9.76;b;y;n;p;u;f;f;g;d;a
e;1.65;x;w;g;f;x;d;k;5.0;2.49;s;y;w;u;e;f;f;k;g;s
e;9.26;s;t;o;t;d;c;o;7.04;19.27;b;s;w;u;u;f;f;u;d;u
p;1.67;x;k;n;f;x;c;n;3.82;1.61;b;h;n;u;f;f;f;p;d;s
p;1.23;x;g;y;f;d;d;n;1.27;2.19;b;s;n;u;f;f;f;g;d;u
e;6.11;x;d;n;t;p;c;y;5.51;11.85;u;g;e;f;f;f;f;e;d;u
p;8.17;x;i;y;f;a;c;n;8.86;9.21;b;i;n;p;k;t;z;k;g;a
p;2.94;b;h;n;f;e;c;n;9.69;5.55;s;y;w;p;w;t;e;k;g;w
p;7.8;f;h;e;f;x;c;w;14.35;8.3;r;g;n;p;l;f;f;r;d;a
p;6.95;f;d;n;t;d;c;y;7.24;10.27;b;y;n;u;p;f;f;e;d;u
p;4.53;s;l;u;f;a;c;w;3.96;6.77;c;h;w;f;f;f;f;e;d;a
p;3.7;f;d;n;f;x;c;y;5.45;3.72;b;s;n;p;u;f;f;b;d;u
e;7.61;p;l;g;f;a;c;w;7.54;13.79;u;s;w;u;k;f;f;e;d;a
p;4.57;x;t;o;f;a;c;y;6.2;7.55;e;g;o;u;f;f;f;u;g;a
e;5.87;x;h;n;f;x;c;n;4.74;5.91;b;s;n;u;e;t;r;r;d;s
e;4.04;x;d;n;f;p;c;n;4.94;10.95;c;g;n;u;f;f;f;w;d;a
p;8.16;x;h;r;f;d;c;w;11.1;16.74;b;g;w;u;w;t;r;w;d;a
e;4.94;f;y;n;f;s;c;w;4.22;7.58;c;y;w;f;k;f;f;w;d;a
p;3.46;f;d;y;f;s;d;y;4.95;10.52;e;i;y;f;f;f;f;e;d;a
e;8.15;x;l;n;f;a;c;w;6.38;13.4;z;s;g;f;f;f;f;y;d;u
p;20.64;f;d;k;f;p;c;y;6.46;46.47;s;i;n;u;p;f;f;e;d;w
e;10.17;x;s;n;t;p;c;y;9.14;18.68;b;g;n;u;w;t;p;p;d;u
e;8.97;x;y;e;f;d;c;w;6.32;22.57;b;g;n;p;w;t;e;w;d;a
p;2.77;f;y;n;f;e;c;w;4.33;3.47;c;k;w;p;w;t;e;e;m;a
e;3.93;s;t;y;f;f;f;f;6.37;7.57;c;h;y;p;l;f;f;b;d;a
e;10.27;f;s;n;t;d;c;w;10.57;20.4;b;w;w;u;w;t;r;u;d;a
p;10.34;x;t;n;f;a;d;w;11.28;35.16;b;y;w;u;u;f;f;w;d;u
p;7.02;s;d;e;t;d;c;w;7.42;8.85;b;y;e;u;e;f;f;u;d;a
p;2.49;x;g;e;f;a;c;w;6.56;2.37;c;g;w;p;l;f;f;r;d;u
p;3.02;s;s;w;f;d;c;w;2.55;6.35;b;y;w;u;e;f;f;e;g;u
p;5.94;x;d;n;f;d;c;y;5.23;8.75;b;y;n;p;u;f;f;g;d;a
e;4.76;x;t;n;f;a;d;n;6.3;4.83;s;t;w;u;e;t;l;w;d;u
p;1.26;x;k;n;f;x;c;n;3.15;1.28;b;h;n;u;f;f;f;u;d;s
p;3.69;x;s;n;f;x;c;p;8.3;3.96;b;s;n;p;w;f;f;g;l;u
e;7.78;x;h;g;t;p;d;g;10.57;24.66;e;y;w;p;w;f;f;p;d;u
e;9.48;x;y;n;t;e;c;p;9.08;18.2;s;y;w;p;w;t;l;n;l;a
p;3.71;x;k;n;f;s;c;p;3.73;2.68;b;s;n;u;f;f;f;p;g;a
e;7.13;x;h;y;f;e;c;w;6.07;13.02;b;i;w;u;y;t;r;e;d;u
e;7.98;f;h;o;f;s;c;y;7.93;11.22;e;i;o;p;y;f;f;u;d;a
p;4.99;s;d;o;f;d;c;y;3.71;6.32;e;y;y;f;f;f;f;p;h;a
e;10.29;x;i;n;t;e;c;p;9.14;17.48;b;y;w;u;w;t;l;r;d;a
e;3.18;b;g;w;f;x;d;w;3.96;2.42;c;s;y;f;f;f;f;p;g;a
p;6.71;f;t;y;f;x;c;y;5.47;13.99;b;d;y;u;y;f;f;w;d;a
p;6.83;c;e;w;t;x;c;r;7.11;11.9;b;d;w;p;e;f;f;r;g;s
p;2.92;b;g;y;f;a;c;n;6.98;3.8;s;g;n;u;e;f;f;k;d;u
p;5.66;s;k;n;f;p;d;n;3.58;6.62;s;k;n;p;g;t;f;o;d;u
p;16.95;x;k;w;t;d;d;n;5.99;30.31;c;h;w;u;w;f;f;y;d;u
p;3.32;b;g;k;f;a;c;n;9.34;2.64;s;i;g;u;w;f;f;k;g;a
e;7.36;x;d;y;t;p;d;r;7.11;13.04;e;g;y;u;w;f;f;e;d;a
e;8.23;x;t;n;f;p;d;y;6.13;12.0;u;s;n;f;k;f;f;y;g;a
p;3.16;o;l;g;f;f;f;f;0.0;0.0;f;f;f;p;b;f;f;u;d;u
e;1.99;x;k;u;f;x;d;u;5.58;5.24;b;d;w;u;n;f;f;e;d;a
p;3.51;b;w;u;f;a;c;g;5.25;5.85;s;s;u;u;r;f;f;k;d;u
e;12.96;p;s;w;t;e;c;g;12.32;17.7;s;s;w;p;w;t;l;r;m;u
p;7.54;o;h;e;f;f;f;f;2.26;19.65;s;g;n;p;w;f;f;b;d;s
p;1.24;x;d;n;f;a;c;k;4.75;2.14;s;s;n;u;w;f;f;k;g;a
p;9.09;x;d;w;f;x;c;w;9.87;11.6;r;i;w;p;y;f;f;g;h;u
e;3.6;b;g;w;f;x;d;w;4.06;3.22;c;d;y;f;f;f;f;u;g;a
e;14.59;f;e;n;f;a;c;w;8.22;26.39;s;s;w;p;w;f;f;r;d;w
p;7.11;s;t;n;t;d;c;w;4.57;12.79;b;t;n;p;u;f;f;u;d;u
e;3.3;f;t;n;f;d;d;o;5.49;6.85;c;t;w;f;f;f;f;w;d;a
p;2.26;f;s;u;f;a;c;n;4.15;3.49;s;i;w;u;e;f;f;k;p;a
p;6.0;p;s;g;f;x;c;g;10.28;13.05;b;s;w;p;w;t;z;g;g;a
p;5.9;x;s;r;t;s;d;w;6.92;15.56;r;y;n;f;f;f;f;w;d;a
p;6.12;x;e;e;f;a;c;g;8.65;11.24;s;s;n;u;w;t;z;k;d;a
e;7.19;x;l;w;f;d;c;p;3.13;8.85;b;h;w;p;w;f;f;p;d;u
e;9.63;p;i;n;t;e;c;p;9.28;17.3;b;y;w;u;w;t;p;g;d;a
p;4.38;x;h;y;f;a;c;y;6.19;7.7;u;g;o;f;f;f;f;u;g;a
p;3.63;b;y;n;f;x;c;w;6.11;4.38;s;s;w;p;p;f;f;n;d;a
p;2.32;o;l;g;f;f;f;f;0.0;0.0;f;f;f;p;b;f;f;u;d;w
p;10.49;o;d;e;f;f;f;f;3.38;27.45;s;g;n;p;y;f;f;b;d;u
p;1.46;x;g;y;f;d;d;n;1.78;2.58;c;s;n;u;f;f;f;b;h;a
e;8.82;x;t;n;f;p;d;y;6.87;11.62;s;s;n;f;f;f;f;e;h;u
e;11.41;x;h;n;t;d;c;w;11.48;16.89;b;g;w;u;w;t;r;u;d;a
e;6.94;x;d;n;t;p;d;y;7.2;16.47;e;g;y;f;f;f;f;u;d;a
p;3.9;x;k;w;f;s;c;p;3.85;2.97;c;y;n;u;f;f;f;p;g;u
p;3.51;o;h;k;f;f;f;f;4.41;16.78;s;g;g;p;l;f;f;g;d;a
p;6.34;b;s;g;f;d;c;w;9.96;11.34;b;s;w;p;w;t;z;n;g;u
p;2.64;o;l;g;f;f;f;f;0.0;0.0;f;f;f;p;b;f;f;u;d;w
e;8.63;f;s;k;f;a;c;w;3.99;13.33;b;i;w;u;e;f;f;e;d;u
e;3.6;s;h;n;f;f;f;f;7.51;8.92;s;y;o;p;y;f;f;r;d;a
e;8.45;o;t;n;f;x;c;w;3.67;18.62;b;h;n;u;e;f;f;w;d;u
e;17.76;f;y;n;f;d;c;w;23.39;19.44;s;y;n;p;e;t;m;w;d;a
p;5.88;s;k;n;f;p;d;n;3.68;5.49;s;k;n;p;g;t;f;o;d;u
e;5.74;x;h;n;f;x;c;n;5.09;5.41;b;y;n;u;e;t;r;u;d;u
p;3.45;x;i;e;f;x;c;e;4.04;5.82;e;y;e;p;y;f;f;n;d;a
e;9.33;x;t;n;f;p;d;y;7.84;12.52;u;s;n;f;k;f;f;y;g;a
e;3.74;s;d;u;t;d;c;p;4.77;6.63;b;g;n;u;y;f;f;y;d;a
p;0.84;x;g;o;f;a;c;y;3.68;0.72;c;s;y;p;w;f;f;p;d;u
e;5.97;f;s;n;f;s;c;w;5.33;10.27;b;i;w;u;l;f;f;w;d;a
e;7.05;x;d;n;t;p;d;g;14.48;26.22;e;y;w;u;w;f;f;e;d;u
p;2.76;b;g;y;f;a;c;n;6.56;3.43;s;g;n;u;e;f;f;k;d;s
e;14.05;x;e;n;t;e;c;w;10.18;17.97;b;y;w;p;y;t;r;u;g;u
p;7.22;f;d;y;f;s;d;y;6.24;15.58;z;i;y;f;f;f;f;e;d;a
e;5.55;x;h;n;f;e;c;w;11.18;11.66;b;s;w;u;w;f;f;e;d;a
e;7.09;x;h;y;f;p;c;y;8.33;15.98;u;g;y;p;y;t;r;e;d;a
e;1.59;x;w;g;f;a;d;k;5.7;2.64;s;d;w;u;e;f;f;k;d;s
p;6.26;x;s;g;t;s;d;w;5.2;13.67;r;i;n;f;f;f;f;e;d;a
e;9.21;x;s;n;f;e;c;w;7.82;10.25;b;i;w;p;w;f;f;p;d;w
e;13.67;s;t;w;f;a;d;y;6.71;21.16;b;s;w;u;e;f;f;w;d;a
p;5.18;c;e;w;t;x;c;p;3.38;11.11;b;h;w;p;e;f;f;p;g;s
p;3.88;o;h;w;f;f;f;f;5.22;30.98;c;g;w;p;y;t;f;b;d;a
e;1.43;x;s;y;f;a;c;w;5.73;1.69;c;t;y;f;f;f;f;w;h;a
p;6.39;x;h;n;f;x;c;w;13.02;7.49;r;g;n;f;f;f;f;e;d;u
p;4.18;f;k;w;f;x;c;p;8.15;4.33;b;l;p;p;u;f;f;n;l;u
p;19.93;s;k;n;f;d;c;y;5.97;40.66;s;k;n;u;e;f;f;w;d;u
p;2.84;f;w;n;t;d;c;y;3.57;5.95;b;l;n;u;l;f;f;e;d;u
e;8.9;x;s;u;f;a;c;w;4.4;14.29;u;s;w;f;f;f;f;e;d;u
e;7.79;x;t;y;t;x;c;y;7.2;16.15;b;s;w;u;u;f;f;w;d;u
p;1.7;b;h;n;f;a;c;n;5.15;1.73;c;t;n;u;o;f;f;k;g;s
e;16.09;s;t;n;f;a;d;y;7.21;21.23;b;y;w;u;w;f;f;w;d;w
p;4.88;s;d;e;t;d;c;p;5.25;6.4;b;y;e;u;e;f;f;e;d;u
e;4.53;x;y;n;f;s;d;w;4.28;7.46;u;y;w;u;k;f;f;e;d;a
p;9.21;x;y;w;t;e;c;n;8.73;16.67;s;g;w;p;w;t;l;u;g;a
p;4.19;c;i;y;f;x;c;r;6.78;7.83;u;i;w;p;w;f;f;n;d;a
p;2.24;s;s;g;f;d;c;w;2.85;7.54;b;s;w;u;e;f;f;e;g;u
p;3.91;b;y;n;f;x;c;w;5.85;4.58;s;s;w;p;p;f;f;n;d;a
p;6.75;c;e;w;t;x;c;p;8.15;13.53;b;d;w;u;e;f;f;u;d;s
p;16.81;x;k;n;t;p;c;o;9.05;29.59;c;d;y;p;y;f;f;p;d;u
e;6.38;c;t;n;f;e;c;w;11.68;12.64;b;s;w;u;w;f;f;w;d;u
p;5.79;c;i;y;f;x;c;n;7.67;8.65;u;i;w;p;w;f;f;n;d;u
e;7.83;x;d;y;t;p;d;r;5.89;12.83;e;g;e;f;f;f;f;r;d;a
p;3.1;b;g;k;f;a;c;n;9.28;2.38;s;i;g;u;w;f;f;k;g;u
p;6.52;x;d;n;t;d;c;w;6.83;8.61;s;y;e;u;y;f;f;u;d;a
p;6.9;s;d;n;t;d;c;y;4.98;8.2;b;y;n;p;u;f;f;g;d;a
e;1.35;f;g;e;t;a;c;w;5.8;1.07;u;s;n;p;o;f;f;p;d;u
p;3.68;o;h;k;f;f;f;f;4.25;16.23;s;g;n;p;y;f;f;g;d;u
e;8.97;p;y;w;f;e;c;w;18.45;12.48;c;s;w;p;w;t;e;y;g;a
e;7.26;x;y;n;f;e;c;p;6.27;10.7;c;y;n;f;f;f;f;p;d;a
p;2.75;s;s;w;f;d;c;w;3.16;7.5;b;y;w;u;e;f;f;e;g;a
e;2.77;x;l;u;f;x;d;u;5.62;4.19;c;k;w;f;f;f;f;e;d;a
p;1.44;o;k;n;f;x;c;n;3.61;1.59;e;d;n;u;f;f;f;b;d;a
e;7.28;x;h;w;f;e;c;w;6.22;12.43;b;i;w;u;y;t;r;w;d;a
e;5.56;s;d;n;f;d;c;w;5.32;8.31;b;s;w;p;e;f;f;n;l;a
p;8.26;p;g;n;f;e;c;w;7.52;14.29;s;y;w;u;w;t;p;e;d;u
p;3.66;b;y;n;f;a;c;g;5.75;4.45;s;s;w;u;u;f;f;k;d;a
p;6.02;f;d;n;f;d;c;n;5.16;6.87;b;i;y;p;w;t;r;y;d;a
p;6.99;x;g;n;f;e;c;w;6.51;13.6;b;y;w;u;w;t;p;e;d;u
e;9.2;x;k;n;t;e;c;w;10.22;13.14;b;i;w;u;w;t;r;w;d;u
e;4.07;f;t;o;f;a;d;y;6.62;5.56;c;k;n;u;f;f;f;w;d;s
e;7.22;x;s;n;t;p;c;n;7.1;17.44;u;g;n;p;w;t;p;u;d;u
e;3.28;x;s;w;f;d;d;w;4.0;6.79;c;h;w;f;f;f;f;w;g;a
e;5.19;p;l;n;f;f;f;f;5.22;18.27;s;l;n;p;l;f;f;b;l;s
e;8.42;x;d;y;t;p;c;y;10.41;18.99;u;y;y;f;f;f;f;w;d;u
e;4.08;x;l;w;f;a;c;r;5.39;8.0;c;l;r;f;f;f;f;w;d;a
e;3.18;f;d;u;t;d;c;p;4.58;5.23;b;d;g;u;p;f;f;u;d;a
e;4.26;s;w;y;f;f;f;f;5.02;11.9;c;h;y;p;l;f;f;b;d;a
p;6.76;s;d;e;t;d;c;w;6.19;9.22;b;y;n;u;p;f;f;e;d;a
p;2.42;x;g;n;f;a;c;p;6.48;2.55;s;y;w;u;w;f;f;y;d;u
p;0.73;f;s;o;f;d;c;o;4.84;1.06;u;l;y;p;l;f;f;w;g;u
e;8.89;s;t;p;t;d;c;o;5.9;17.42;b;d;w;u;e;f;f;u;d;a
e;7.52;x;d;g;t;p;c;g;11.62;24.45;e;y;w;f;f;f;f;e;d;a
p;10.12;f;g;n;f;x;c;w;11.73;13.48;r;i;w;p;l;f;f;g;h;u
p;4.88;x;s;y;f;d;c;r;8.98;8.19;b;s;y;u;w;t;z;r;d;s
p;2.28;x;g;n;f;a;c;p;7.58;2.64;s;y;n;u;y;f;f;y;d;a
p;5.74;f;t;e;f;x;d;w;5.59;16.49;b;d;w;u;e;f;f;w;d;u
p;6.34;x;t;n;f;s;c;g;5.54;8.19;r;y;n;p;y;f;f;p;d;w
e;8.1;x;t;y;f;p;c;y;7.24;14.97;e;s;y;p;y;t;r;e;d;u
e;0.91;p;g;w;f;d;c;g;2.86;1.53;c;h;w;p;o;f;f;l;d;a
p;3.19;o;h;g;f;f;f;f;2.8;13.99;s;g;g;p;y;f;f;b;d;a
e;6.85;s;d;y;f;a;c;w;6.39;11.17;b;d;g;u;w;f;f;w;d;a
p;7.42;s;k;r;t;d;c;o;4.78;12.07;b;h;w;p;e;t;f;w;d;u
p;7.32;x;y;w;t;e;c;g;8.47;14.98;s;i;w;p;w;t;l;p;g;a
p;9.13;x;y;y;f;a;c;y;10.35;11.32;s;y;y;p;o;t;r;w;d;u
e;7.76;x;w;n;f;a;c;w;7.2;13.13;u;l;g;u;o;f;f;w;g;u
p;9.06;f;t;e;f;x;d;w;6.1;17.49;b;s;w;u;e;f;f;w;d;u
e;6.84;x;d;n;t;p;c;g;10.33;21.12;e;y;w;f;f;f;f;e;d;u
p;3.12;o;l;g;f;f;f;f;0.0;0.0;f;f;f;p;b;f;f;u;d;u
p;3.51;b;w;u;f;a;c;u;5.12;6.55;b;s;u;u;w;f;f;y;l;u
p;3.2;x;s;y;f;a;c;r;6.88;6.73;s;s;y;u;w;t;z;k;d;s
p;3.33;o;d;w;f;f;f;f;4.39;26.77;c;g;w;p;l;t;f;g;p;a
p;0.68;x;y;o;f;d;c;o;4.86;0.99;u;h;y;p;l;f;f;w;g;a
e;0.86;f;g;e;t;a;c;w;5.06;0.9;u;s;n;p;o;f;f;p;d;u
p;1.5;x;k;n;f;x;c;n;3.79;1.37;b;l;n;u;f;f;f;p;d;a
p;3.48;f;d;b;f;x;c;y;4.71;3.44;b;s;n;p;u;f;f;r;d;u
p;4.92;f;l;n;f;x;d;n;6.11;5.06;e;h;y;u;f;f;f;e;l;u
p;8.76;f;h;r;f;x;c;w;10.81;15.76;b;i;w;u;w;t;p;w;d;u
e;1.14;b;g;g;f;d;c;g;3.53;1.52;e;y;w;p;o;f;f;o;d;a
e;11.48;x;t;w;f;a;d;y;6.6;21.39;b;d;w;u;e;f;f;w;d;a
e;6.17;p;s;w;f;e;c;p;5.12;12.76;b;g;w;p;w;t;e;l;g;u
e;5.38;x;s;w;f;e;c;w;5.88;11.57;b;s;y;u;w;t;r;w;d;a
p;14.55;f;h;e;f;e;c;w;16.94;17.9;s;y;w;u;w;t;p;w;d;w
p;0.81;x;g;w;f;a;d;w;3.09;1.29;b;s;n;p;u;f;f;p;d;u
e;5.07;x;d;y;f;a;c;y;5.77;10.76;b;s;w;u;w;f;f;w;d;u
p;8.54;b;y;w;f;d;c;k;13.31;17.3;z;g;w;u;y;f;f;w;d;a
p;3.47;x;y;n;f;a;c;w;5.01;3.29;s;y;y;u;o;t;r;e;d;a
p;2.04;b;g;n;f;a;c;g;4.56;2.03;c;s;n;u;l;f;f;k;d;a
p;5.75;o;k;n;f;x;c;o;1.19;13.38;b;k;n;p;u;f;f;g;d;w
p;8.37;x;g;n;f;x;c;w;9.99;12.04;r;i;w;f;f;f;f;g;h;a
e;5.62;o;l;g;f;f;f;f;5.1;19.83;s;g;n;p;w;f;f;b;d;s
p;5.06;x;e;e;f;a;c;w;7.23;9.19;b;g;e;p;w;t;z;w;d;a
e;1.21;c;g;n;f;a;c;w;4.17;1.18;c;s;g;f;f;f;f;w;l;u
